Convex hull shape for accurate collision detections.
Vertex Count: 53

Vertices: 

-0.061976 0.497260 -0.312096
-0.176739 0.508791 -0.243253
-0.050500 0.531753 -0.277711
-0.222644 -0.443524 -0.335092
-0.222644 -0.386068 0.364727
-0.222644 0.462768 0.169659
0.224843 -0.431896 0.295884
0.224843 -0.443524 -0.323557
0.224843 0.267732 0.364800
-0.222644 0.267830 0.364727
0.167462 -0.202465 0.364800
0.087127 0.531753 0.100817
0.224843 0.439903 -0.059646
0.029790 0.439903 -0.335092
0.064175 -0.030294 -0.381012
-0.073453 -0.030294 -0.381012
0.167462 -0.443426 -0.381012
-0.222644 0.187412 -0.277711
0.224843 0.187412 -0.277637
-0.222644 -0.431896 0.295811
0.224843 0.462768 0.169659
0.224843 -0.386068 0.364800
-0.165263 -0.443524 -0.381012
-0.142310 0.061263 -0.358015
-0.176739 0.497260 -0.254787
-0.222644 0.485731 -0.059720
-0.073453 -0.443524 -0.094104
-0.107882 0.531753 0.100817
-0.165263 0.520126 0.100817
-0.050500 0.428470 -0.335092
-0.039024 0.485828 -0.323630
0.133033 0.520223 0.066359
0.041223 0.554716 -0.208868
0.167462 0.485828 -0.254787
0.144509 0.061263 -0.358015
-0.188216 -0.431896 -0.369476
0.167462 -0.443426 -0.128562
0.064175 0.485828 -0.312096
0.018314 0.520223 -0.300634
0.167462 0.508693 -0.243253
0.018314 0.554716 -0.140025
-0.050500 0.554716 -0.208868
-0.211124 -0.443524 -0.162948
0.052699 0.416940 -0.335092
0.018314 0.543186 -0.266249
-0.222644 0.485731 0.100817
-0.165263 0.520126 -0.059720
0.224843 0.462768 0.066359
0.224843 0.210472 -0.266176
-0.084929 0.405508 -0.323630
0.167462 0.508693 -0.140025
-0.050500 0.554716 -0.162948
0.167462 -0.431993 -0.381012
