Convex hull shape for accurate collision detections.
Vertex Count: 28

Vertices: 

0.168441 -0.919241 -0.358270
0.313165 -0.034010 -0.494636
0.423368 0.081545 -0.107687
-0.206410 -0.918922 -0.361849
-0.189205 -0.913559 -0.066253
0.309802 -0.523953 0.329875
-0.347870 -0.523995 0.329047
-0.463318 0.089681 -0.105263
-0.350413 -0.509317 0.013009
-0.317501 -0.270407 0.473189
0.292005 0.555744 0.329846
-0.036311 0.640718 0.200551
-0.328857 0.555923 0.328885
-0.329622 0.555744 -0.042051
-0.183146 0.595399 -0.105059
0.292953 0.555739 -0.041265
0.309646 0.313192 0.453689
0.135528 0.595527 -0.107423
-0.019502 0.647338 -0.087417
-0.348305 -0.033159 -0.494196
-0.348317 0.298690 0.453282
0.213563 -0.273707 0.497947
0.217047 0.353610 0.497744
-0.249015 0.355698 0.497698
-0.011978 0.606746 -0.158013
0.150555 -0.912556 -0.068437
0.300152 -0.195754 0.460958
0.310258 -0.523995 -0.046324
