Convex hull shape for accurate collision detections.
Vertex Count: 50

Vertices: 

0.019809 0.983097 -0.495728
0.020036 -1.088532 -0.497030
-0.166598 -1.088645 -0.462927
0.251395 -1.089188 0.413470
0.384011 -1.088999 0.266135
0.383784 0.982630 0.267425
-0.324377 -1.088822 -0.348911
-0.324605 0.982807 -0.347609
-0.166813 0.982984 -0.461626
-0.125769 1.403963 -0.163883
-0.283282 0.982213 0.389319
-0.283055 -1.089417 0.388016
-0.113706 -1.089404 0.480183
0.251167 0.982440 0.414760
0.075116 0.982301 0.490475
-0.071966 -1.368356 -0.200855
-0.184276 -1.368508 -0.076091
-0.426040 -1.089012 -0.174694
-0.125756 1.403558 0.171136
-0.113933 0.982225 0.481485
0.203231 -1.088494 -0.445326
0.088102 -1.368281 -0.193231
-0.426268 0.982617 -0.173392
-0.180229 1.403747 -0.089330
0.075331 -1.089328 0.489186
-0.453998 -1.089189 0.029593
0.351325 -1.088532 -0.316743
0.438711 -1.088645 -0.133522
-0.403419 -1.089328 0.228644
-0.403647 0.982288 0.229946
-0.454225 0.982440 0.030894
-0.047081 1.404203 -0.205268
0.032744 -1.368647 0.211257
-0.049079 -1.368685 0.207363
-0.174476 -1.368647 0.098493
0.203004 0.983136 -0.444024
0.351110 0.983097 -0.315441
0.438484 0.982984 -0.132234
-0.180217 1.403520 0.096596
0.173441 1.404582 -0.089356
0.173453 1.404355 0.096571
0.040293 1.403899 0.212497
-0.047056 1.403697 0.212509
0.118980 1.404544 -0.163896
0.040267 1.404405 -0.205268
0.118993 1.404140 0.171123
0.450041 0.982819 0.073950
0.450269 -1.088810 0.072648
0.166359 -1.368508 0.114716
0.190030 -1.368356 -0.058275
