Convex hull shape for accurate collision detections.
Vertex Count: 23

Vertices: 

0.069380 -0.087982 -0.048621
-0.042902 -0.106301 -0.106198
-0.042930 -0.057473 -0.138826
0.069266 0.086916 0.052357
-0.042407 0.132671 0.078593
-0.043521 0.057728 0.139292
0.069545 -0.087982 0.052357
0.077797 -0.083590 0.002043
0.077844 -0.042598 0.073042
-0.043115 0.057728 -0.138826
-0.043006 0.000127 -0.150285
-0.042715 -0.142373 -0.051947
0.077716 0.039384 0.073042
0.077532 0.080377 0.002043
0.069100 0.086916 -0.048621
0.077480 0.039384 -0.068957
0.069488 -0.000535 0.102846
0.077613 -0.042598 -0.068957
-0.041437 0.132995 -0.078279
0.069157 -0.000535 -0.099111
-0.047222 -0.021757 0.147890
-0.043445 0.000127 0.150751
-0.043465 0.150643 0.000230
