Convex hull shape for accurate collision detections.
Vertex Count: 46

Vertices: 

0.051303 -1.210993 -0.138706
-0.095911 -1.211197 -0.112733
-0.272490 -1.078526 -0.398133
-0.492901 0.893165 0.088468
-0.492920 0.893174 -0.084412
-0.483268 -0.970161 -0.034029
-0.167655 -1.078378 -0.458679
-0.172993 0.893649 -0.465778
-0.002740 0.893883 -0.495823
-0.002619 0.893790 0.499768
-0.172881 0.893566 0.469760
0.048480 -0.969490 0.483809
-0.322611 0.893370 0.383344
0.428393 0.894451 -0.246979
0.164494 1.228493 -0.094837
0.187505 1.228520 -0.031645
0.482977 -0.968838 -0.083451
0.441557 -0.968885 -0.197212
-0.095883 -1.211216 0.116296
-0.193899 1.227999 -0.031598
-0.127679 1.228101 -0.146317
-0.322703 0.893436 -0.379324
0.487542 0.894516 -0.084533
0.164522 1.228474 0.098809
0.167634 0.894023 0.469723
0.317345 0.894236 0.383260
-0.050923 -1.211161 0.142251
-0.441829 -0.970133 0.200803
0.437160 -1.077604 0.049238
0.395722 -1.077632 -0.185595
-0.433752 0.893231 0.250924
-0.127642 1.228073 0.150356
-0.003215 1.228269 -0.191631
0.063014 1.228362 -0.179968
0.482996 -0.968857 0.037612
0.487561 0.894497 0.088347
0.428449 0.894405 0.250812
0.129642 -1.210900 -0.072990
0.129662 -1.210909 0.076497
0.167709 -0.969322 0.462765
-0.048426 -1.078210 -0.479724
0.167513 0.894115 -0.465815
0.121296 1.228409 0.150328
-0.483258 -0.970179 0.087043
0.272543 -0.969174 0.402218
-0.170878 1.228017 0.098847
