Convex hull shape for accurate collision detections.
Vertex Count: 43

Vertices: 

0.009157 -0.051488 -0.414451
-0.008450 -0.051517 -0.414444
-0.047389 0.015682 -0.414432
0.127913 -0.108306 -0.332571
0.096504 -0.134744 -0.332558
0.129998 -0.109854 0.299304
-0.128624 -0.110274 0.299389
-0.158017 -0.059550 0.299399
-0.147548 -0.073194 -0.332479
-0.095472 -0.135054 -0.332496
-0.061113 -0.024114 0.426671
-0.061185 0.020803 0.426671
-0.158204 0.055920 0.299395
-0.127184 0.105030 -0.369347
-0.128974 0.106739 0.299383
-0.084127 0.144494 0.299366
0.084677 0.144766 0.299310
0.129648 0.107156 0.299297
0.127566 0.105564 -0.332578
-0.008611 0.048329 -0.414448
-0.095775 0.131472 -0.369360
0.084547 0.120668 -0.369416
0.148150 0.070042 -0.332581
0.136623 0.058808 -0.369433
-0.147651 0.069442 -0.369337
-0.010743 -0.066238 0.426656
-0.049680 -0.043843 0.426669
0.159230 -0.059035 0.299291
0.062297 -0.023911 0.426631
0.050928 -0.043681 0.426634
0.159044 0.056432 0.299287
-0.029069 0.164634 0.299347
0.029555 0.164729 0.299329
0.062225 0.021006 0.426627
0.012063 -0.066203 0.426650
0.030096 -0.167748 0.299339
-0.032371 0.055260 0.426659
0.148382 -0.072718 -0.332578
-0.126963 -0.108716 -0.332486
0.011851 0.063133 0.426643
0.050789 0.040735 0.426634
0.025549 0.042362 -0.414457
-0.028532 -0.167847 0.299358
